Type,Brand,Product,Kosher,Misc,Src
Beer,Minhas Craft Brewery,Boatswain HLV,cRc,,1
Beer,Minhas Craft Brewery,Boxer,cRc,,1
Beer,Minhas Craft Brewery,Boxer Gluten Free,cRc,,1
Beer,Minhas Craft Brewery,Boxer Light,cRc,,1
Beer,Minhas Craft Brewery,BrewSA,cRc,,1
Beer,Minhas Craft Brewery,Catch Lager,cRc,,1
Beer,Minhas Craft Brewery,Chick,cRc,,1
Beer,Minhas Craft Brewery,Chocolate Bunny,cRc,,1
Beer,Minhas Craft Brewery,Chocolate Stout,cRc,,1
Beer,Minhas Craft Brewery,Classic Pilsner,cRc,,1
Beer,Minhas Craft Brewery,Clear Creek Ice,cRc,,1
Beer,Minhas Craft Brewery,Clear Malt Base,cRc,,1
Beer,Minhas Craft Brewery,Crow,cRc,,1
Beer,Minhas Craft Brewery,Dead Presidents,cRc,,1
Beer,Minhas Craft Brewery,Dempsey Ale,cRc,,1
Beer,Minhas Craft Brewery,Dixie Blackened Voodoo,cRc,,1
Beer,Minhas Craft Brewery,Dixie Larger,cRc,,1
Beer,Minhas Craft Brewery,Dixie Light,cRc,,1
Beer,Minhas Craft Brewery,Doe Pee,cRc,,1
Beer,Minhas Craft Brewery,Dolce Vita,cRc,,1
Beer,Minhas Craft Brewery,Dutch Nation (Mexico),cRc,,1
Beer,Minhas Craft Brewery,Egotistical Jerk,cRc,,1
Beer,Minhas Craft Brewery,Evans Black Lager,cRc,,1
Beer,Minhas Craft Brewery,Evans Lager,cRc,,1
Beer,Minhas Craft Brewery,Evans Light,cRc,,1
Beer,Minhas Craft Brewery,Fat Cap IPA,cRc,,1
Beer,Minhas Craft Brewery,Fat Cat,cRc,,1
Beer,Minhas Craft Brewery,Fat Cat Brown Ale,cRc,,1
Beer,Minhas Craft Brewery,Fat Cat Pale Ale,cRc,,1
Beer,Minhas Craft Brewery,Fat Cat Wheat,cRc,,1
Beer,Minhas Craft Brewery,Fighting Billy Bock,cRc,,1
Beer,Minhas Craft Brewery,Fire Brewed Red Ale,cRc,,1
Beer,Minhas Craft Brewery,Four-O,cRc,,1
Beer,Minhas Craft Brewery,Four-O Ice,cRc,,1
Beer,Minhas Craft Brewery,Gemutlichkeit,cRc,,1
Beer,Minhas Craft Brewery,Ghost Pale Ale,cRc,,1
Beer,Minhas Craft Brewery,Gluten Free,cRc,,1
Beer,Minhas Craft Brewery,Gnarly Oak Chocolate Stout,cRc,,1
Beer,Minhas Craft Brewery,Gnarly Oak Winter Bock,cRc,,1
Beer,Minhas Craft Brewery,Good Times Ice,cRc,,1
Beer,Minhas Craft Brewery,Good Times Lager,cRc,,1
Beer,Minhas Craft Brewery,Good Times Wheat,cRc,,1
